Usage statistics from between 17:00 and 8:00 each day
,Collins (kWh),Main (kWh),DHB (kWh),Collins ($),Main ($),DHB ($)
2015-07-03,,1575.0,,,252.0,
2015-07-04,,1442.0,,,230.72,
2015-07-05,,1430.0,,,228.8,
2015-07-06,,1686.0,,,269.76,
2015-07-07,,2283.0,,,365.28000000000003,
2015-07-08,,1594.0,,,255.04,
2015-07-09,,1768.0,,,282.88,
2015-07-10,,1409.0,,,225.44,
2015-07-11,,1285.0,,,205.6,
2015-07-12,,1488.0,,,238.08,
2015-07-13,,2244.0,,,359.04,
2015-07-14,,1695.0,,,271.2,
2015-07-15,,2279.0,,,364.64,
2015-07-16,,2204.0,,,352.64,
2015-07-17,,1874.0,,,299.84000000000003,
2015-07-18,,2222.0,,,355.52,
2015-07-19,,2462.0,,,393.92,
2015-07-20,,2745.0,,,439.2,
2015-07-21,,2394.0,,,383.04,
2015-07-22,,2733.0,,,437.28000000000003,
2015-07-23,,2105.0,,,336.8,
2015-07-24,,2087.0,,,333.92,
2015-07-25,,1279.0,,,204.64000000000001,
2015-07-26,,1395.0,,,223.20000000000002,
2015-07-27,,2628.0,,,420.48,
2015-07-28,,2565.0,,,410.40000000000003,
2015-07-29,,2474.0,,,395.84000000000003,
2015-07-30,,2428.0,,,388.48,
2015-07-31,,2075.0,,,332.0,
2015-08-01,,1865.0,,,298.40000000000003,
2015-08-02,,2253.0,,,360.48,
2015-08-03,,2849.0,,,455.84000000000003,
2015-08-04,163.3213,2642.0,253.28049999999996,26.131408,422.72,40.524879999999996
2015-08-05,152.39890000000003,2699.0,385.63710000000003,24.383824000000004,431.84000000000003,61.701936
2015-08-06,171.26080000000002,2147.0,202.73900000000003,27.401728000000002,343.52,32.43824000000001
2015-08-07,218.183,1250.0,136.1790000000001,34.90928,200.0,21.788640000000015
2015-08-08,193.75299999999993,1199.0,135.98800000000006,31.00047999999999,191.84,21.75808000000001
2015-08-09,147.24399999999991,1191.0,137.53999999999996,23.559039999999985,190.56,22.006399999999996
2015-08-10,162.24099999999999,1309.0,137.19900000000007,25.95856,209.44,21.95184000000001
2015-08-11,158.72000000000025,2014.0,217.16399999999976,25.39520000000004,322.24,34.746239999999965
2015-08-12,185.7550000000001,1697.0,267.70600000000013,29.72080000000002,271.52,42.83296000000002
2015-08-13,1046.0770000000002,2725.0,358.375,167.37232000000003,436.0,57.34
2015-08-14,1139.4319999999998,2248.0,178.7539999999999,182.30911999999998,359.68,28.600639999999984
2015-08-15,876.5190000000002,1923.0,130.65300000000025,140.24304000000004,307.68,20.90448000000004
2015-08-16,939.6440000000002,2039.0,130.07800000000043,150.34304000000003,326.24,20.81248000000007
2015-08-17,947.0400000000009,2172.0,175.84599999999955,151.52640000000014,347.52,28.135359999999928
2015-08-18,192.47999999999956,1568.0,139.84100000000035,30.79679999999993,250.88,22.374560000000056
2015-08-19,190.57999999999993,1623.0,141.97999999999956,30.49279999999999,259.68,22.71679999999993
2015-08-20,216.57999999999993,2295.0,181.65000000000055,34.65279999999999,367.2,29.06400000000009
2015-08-21,174.78000000000065,1600.0,161.84500000000025,27.964800000000107,256.0,25.89520000000004
2015-08-22,160.3099999999995,1276.0,131.65300000000025,25.649599999999918,204.16,21.06448000000004
2015-08-23,433.02999999999884,1952.0,124.8720000000003,69.28479999999982,312.32,19.979520000000047
2015-08-24,206.8000000000011,2323.0,134.51299999999992,33.08800000000018,371.68,21.52207999999999
2015-08-25,395.4300000000003,2130.0,208.03400000000056,63.26880000000005,340.8,33.285440000000094
2015-08-26,532.7999999999993,2402.0,158.46299999999974,85.24799999999989,384.32,25.354079999999957
2015-08-27,417.09000000000015,1879.0,247.19700000000012,66.73440000000002,300.64,39.55152000000002
2015-08-28,322.9500000000007,1615.0,132.4969999999994,51.67200000000012,258.4,21.199519999999904
2015-08-29,233.5699999999997,1365.0,131.60000000000036,37.37119999999995,218.4,21.056000000000058
2015-08-30,169.25,1487.0,145.14899999999943,27.080000000000002,237.92000000000002,23.22383999999991
2015-08-31,306.2900000000009,2204.0,178.3099999999995,49.00640000000014,352.64,28.52959999999992
2015-09-01,187.5699999999997,2128.0,223.63500000000022,30.011199999999953,340.48,35.78160000000003
2015-09-02,237.34999999999854,2202.0,224.42000000000007,37.975999999999765,352.32,35.90720000000001
2015-09-03,229.8199999999997,2228.0,250.29000000000087,36.77119999999996,356.48,40.04640000000014
2015-09-04,134.47999999999956,1758.0,150.78000000000065,21.51679999999993,281.28000000000003,24.124800000000107
2015-09-05,127.43000000000029,1690.0,146.0699999999997,20.388800000000046,270.4,23.371199999999956
2015-09-06,145.86000000000058,1785.0,147.57999999999993,23.337600000000094,285.6,23.61279999999999
2015-09-07,148.1700000000019,2367.0,182.46999999999935,23.707200000000302,378.72,29.195199999999897
2015-09-08,509.1100000000006,3001.0,234.32999999999993,81.4576000000001,480.16,37.49279999999999
2015-09-09,327.76000000000204,2931.0,230.10000000000036,52.44160000000033,468.96000000000004,36.81600000000006
2015-09-10,367.869999999999,3308.0,329.78999999999905,58.85919999999984,529.28,52.76639999999985
2015-09-11,260.1900000000023,2034.0,157.42000000000007,41.63040000000037,325.44,25.18720000000001
2015-09-12,139.01000000000204,1737.0,150.0699999999997,22.241600000000325,277.92,24.011199999999953
2015-09-13,126.67000000000189,1680.0,153.90000000000146,20.267200000000305,268.8,24.624000000000233
2015-09-14,172.36999999999898,2086.0,196.22999999999956,27.579199999999837,333.76,31.39679999999993
2015-09-15,217.90000000000146,2444.0,246.27000000000044,34.86400000000023,391.04,39.40320000000007
